document_tone/tones/0/score,document_tone/tones/0/tone_id,document_tone/tones/0/tone_name,document_tone/tones/1/score,document_tone/tones/1/tone_id,document_tone/tones/1/tone_name,document_tone/tones/2/score,document_tone/tones/2/tone_id,document_tone/tones/2/tone_name,document_tone/tones/3/score,document_tone/tones/3/tone_id,document_tone/tones/3/tone_name,document_tone/tones/4/score,document_tone/tones/4/tone_id,document_tone/tones/4/tone_name
0.656117,joy,Joy,0.762118,confident,Confident,,,,,,,,,
0.795521,tentative,Tentative,,,,,,,,,,,,
0.838755,tentative,Tentative,,,,,,,,,,,,
0.845134,sadness,Sadness,,,,,,,,,,,,
0.510315,anger,Anger,0.562306,joy,Joy,0.590458,tentative,Tentative,0.569052,analytical,Analytical,,,
0.572185,sadness,Sadness,0.519779,fear,Fear,,,,,,,,,
0.520427,sadness,Sadness,0.614962,analytical,Analytical,0.907353,tentative,Tentative,,,,,,
0.876366,tentative,Tentative,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.829412,tentative,Tentative,0.536421,analytical,Analytical,,,,,,,,,
,,,,,,,,,,,,,,
0.702011,anger,Anger,,,,,,,,,,,,
0.730158,sadness,Sadness,0.917968,tentative,Tentative,,,,,,,,,
0.683478,joy,Joy,0.893364,tentative,Tentative,0.658425,analytical,Analytical,,,,,,
0.641735,anger,Anger,0.853178,tentative,Tentative,,,,,,,,,
0.552712,sadness,Sadness,0.603259,confident,Confident,,,,,,,,,
0.815753,sadness,Sadness,0.618288,analytical,Analytical,0.906343,tentative,Tentative,,,,,,
0.556651,anger,Anger,0.916364,tentative,Tentative,0.70332,analytical,Analytical,,,,,,
0.55999,sadness,Sadness,0.842596,tentative,Tentative,,,,,,,,,
0.691927,sadness,Sadness,0.70397,tentative,Tentative,,,,,,,,,
0.52517,anger,Anger,0.564548,sadness,Sadness,,,,,,,,,
0.538105,sadness,Sadness,0.949782,tentative,Tentative,,,,,,,,,
0.766539,sadness,Sadness,0.562228,tentative,Tentative,,,,,,,,,
0.855179,tentative,Tentative,0.664748,analytical,Analytical,,,,,,,,,
0.65359,joy,Joy,0.854009,tentative,Tentative,,,,,,,,,
0.741484,sadness,Sadness,0.94387,tentative,Tentative,,,,,,,,,
0.51606,sadness,Sadness,,,,,,,,,,,,
0.854009,tentative,Tentative,0.730105,analytical,Analytical,,,,,,,,,
0.921414,sadness,Sadness,,,,,,,,,,,,
0.852271,confident,Confident,,,,,,,,,,,,
0.647356,confident,Confident,,,,,,,,,,,,
0.521651,sadness,Sadness,,,,,,,,,,,,
0.52978,fear,Fear,,,,,,,,,,,,
0.664304,anger,Anger,0.631794,tentative,Tentative,,,,,,,,,
0.500112,fear,Fear,0.609026,tentative,Tentative,,,,,,,,,
,,,,,,,,,,,,,,
0.901674,tentative,Tentative,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.655944,sadness,Sadness,0.717335,tentative,Tentative,,,,,,,,,
0.512942,joy,Joy,0.680587,sadness,Sadness,0.79901,confident,Confident,,,,,,
0.633745,fear,Fear,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.8292,tentative,Tentative,,,,,,,,,,,,
0.837799,tentative,Tentative,,,,,,,,,,,,
0.689515,tentative,Tentative,,,,,,,,,,,,
0.641633,joy,Joy,0.883671,tentative,Tentative,,,,,,,,,
0.514157,tentative,Tentative,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.505492,anger,Anger,0.666926,sadness,Sadness,,,,,,,,,
0.5857,analytical,Analytical,,,,,,,,,,,,
0.651842,tentative,Tentative,,,,,,,,,,,,
0.60019,sadness,Sadness,0.943467,tentative,Tentative,0.581563,analytical,Analytical,,,,,,
0.549073,sadness,Sadness,0.901638,tentative,Tentative,,,,,,,,,
0.590754,joy,Joy,0.529319,tentative,Tentative,,,,,,,,,
0.815662,tentative,Tentative,,,,,,,,,,,,
0.636336,sadness,Sadness,,,,,,,,,,,,
0.616822,anger,Anger,0.589137,fear,Fear,,,,,,,,,
0.657568,sadness,Sadness,0.84639,tentative,Tentative,0.690857,analytical,Analytical,,,,,,
0.570151,joy,Joy,0.635899,confident,Confident,,,,,,,,,
0.508722,sadness,Sadness,0.611933,anger,Anger,0.874564,confident,Confident,,,,,,
0.551921,sadness,Sadness,0.950723,tentative,Tentative,0.620151,analytical,Analytical,,,,,,
0.662071,anger,Anger,,,,,,,,,,,,
0.773585,sadness,Sadness,,,,,,,,,,,,
0.607136,anger,Anger,,,,,,,,,,,,
0.66243,sadness,Sadness,,,,,,,,,,,,
0.522505,joy,Joy,0.612809,tentative,Tentative,,,,,,,,,
0.598471,anger,Anger,0.752665,confident,Confident,,,,,,,,,
0.503749,anger,Anger,0.641338,tentative,Tentative,,,,,,,,,
0.560225,sadness,Sadness,0.537725,tentative,Tentative,,,,,,,,,
0.806471,tentative,Tentative,,,,,,,,,,,,
0.552148,sadness,Sadness,0.631794,tentative,Tentative,,,,,,,,,
0.752282,analytical,Analytical,,,,,,,,,,,,
0.518728,anger,Anger,0.539144,sadness,Sadness,0.868881,confident,Confident,,,,,,
0.628208,sadness,Sadness,,,,,,,,,,,,
0.524425,sadness,Sadness,0.621183,confident,Confident,0.541163,analytical,Analytical,,,,,,
0.638192,anger,Anger,0.97409,confident,Confident,,,,,,,,,
,,,,,,,,,,,,,,
0.640344,sadness,Sadness,0.752665,confident,Confident,,,,,,,,,
0.593056,sadness,Sadness,0.631794,tentative,Tentative,,,,,,,,,
0.592943,sadness,Sadness,0.675813,anger,Anger,0.892825,tentative,Tentative,0.637256,analytical,Analytical,,,
0.569965,anger,Anger,0.638303,sadness,Sadness,,,,,,,,,
0.838963,anger,Anger,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.630367,sadness,Sadness,,,,,,,,,,,,
0.706807,sadness,Sadness,,,,,,,,,,,,
0.685966,anger,Anger,0.604939,sadness,Sadness,,,,,,,,,
0.790407,tentative,Tentative,,,,,,,,,,,,
0.646511,joy,Joy,0.719408,confident,Confident,,,,,,,,,
0.786506,joy,Joy,0.967136,confident,Confident,,,,,,,,,
0.711934,sadness,Sadness,,,,,,,,,,,,
0.61624,anger,Anger,0.758034,confident,Confident,,,,,,,,,
0.776284,sadness,Sadness,0.942161,confident,Confident,,,,,,,,,
0.755762,sadness,Sadness,0.851584,confident,Confident,,,,,,,,,
0.588337,joy,Joy,0.625012,confident,Confident,,,,,,,,,
0.705982,tentative,Tentative,,,,,,,,,,,,
0.627554,sadness,Sadness,,,,,,,,,,,,
0.540464,joy,Joy,,,,,,,,,,,,
0.855277,tentative,Tentative,,,,,,,,,,,,
0.70337,sadness,Sadness,,,,,,,,,,,,
0.539018,fear,Fear,0.783581,tentative,Tentative,,,,,,,,,
0.692428,sadness,Sadness,,,,,,,,,,,,
0.770069,sadness,Sadness,0.951418,tentative,Tentative,,,,,,,,,
0.749848,tentative,Tentative,,,,,,,,,,,,
0.642856,sadness,Sadness,0.832594,tentative,Tentative,,,,,,,,,
0.659645,joy,Joy,,,,,,,,,,,,
0.738482,sadness,Sadness,0.710923,confident,Confident,,,,,,,,,
0.683807,tentative,Tentative,,,,,,,,,,,,
0.647781,tentative,Tentative,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.620847,anger,Anger,0.936702,tentative,Tentative,,,,,,,,,
0.654012,sadness,Sadness,0.769102,tentative,Tentative,,,,,,,,,
0.578962,joy,Joy,0.761129,tentative,Tentative,,,,,,,,,
0.737054,anger,Anger,0.703131,fear,Fear,0.508637,tentative,Tentative,,,,,,
0.692719,fear,Fear,0.508391,joy,Joy,0.64212,anger,Anger,0.58036,sadness,Sadness,,,
0.536684,sadness,Sadness,,,,,,,,,,,,
0.592389,sadness,Sadness,0.583055,tentative,Tentative,,,,,,,,,
0.552507,fear,Fear,0.626364,tentative,Tentative,,,,,,,,,
0.676003,sadness,Sadness,0.652357,anger,Anger,0.624558,fear,Fear,0.894374,tentative,Tentative,0.748189,analytical,Analytical
0.532528,joy,Joy,0.503392,anger,Anger,,,,,,,,,
0.565793,sadness,Sadness,0.590668,tentative,Tentative,,,,,,,,,
0.599856,fear,Fear,0.872194,confident,Confident,,,,,,,,,
0.780034,confident,Confident,,,,,,,,,,,,
0.545505,sadness,Sadness,0.889688,tentative,Tentative,,,,,,,,,
0.597991,anger,Anger,0.778115,tentative,Tentative,,,,,,,,,
0.871048,sadness,Sadness,,,,,,,,,,,,
0.931592,tentative,Tentative,,,,,,,,,,,,
0.611651,anger,Anger,,,,,,,,,,,,
0.68355,anger,Anger,0.643878,analytical,Analytical,,,,,,,,,
0.697419,joy,Joy,0.764666,confident,Confident,,,,,,,,,
0.594889,sadness,Sadness,0.706892,tentative,Tentative,,,,,,,,,
0.611999,sadness,Sadness,0.630323,analytical,Analytical,0.692385,tentative,Tentative,,,,,,
0.684162,sadness,Sadness,0.540735,tentative,Tentative,,,,,,,,,
,,,,,,,,,,,,,,
0.564615,joy,Joy,,,,,,,,,,,,
0.792168,joy,Joy,,,,,,,,,,,,
0.661916,sadness,Sadness,0.72106,tentative,Tentative,0.655879,analytical,Analytical,,,,,,
0.776054,joy,Joy,0.503849,tentative,Tentative,,,,,,,,,
0.525154,tentative,Tentative,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.757318,confident,Confident,,,,,,,,,,,,
