ranking,album,artist,date,,
10,dookie,green day,4/1/1995,,
10,dookie,green day,12/10/1994,,
10,dookie,green day,11/12/1994,,
11,dookie,green day,4/29/1995,,
11,dookie,green day,4/22/1995,,
11,dookie,green day,4/15/1995,,
12,dookie,green day,5/13/1995,,
12,dookie,green day,5/6/1995,,
13,dookie,green day,8/20/1994,,
14,dookie,green day,5/20/1995,,
14,dookie,green day,11/19/1994,,
15,dookie,green day,11/26/1994,,
16,dookie,green day,8/13/1994,,
17,dookie,green day,5/27/1995,,
19,dookie,green day,7/30/1994,,
20,dookie,green day,12/3/1994,,
20,dookie,green day,8/6/1994,,
21,dookie,green day,6/3/1995,,
22,dookie,green day,6/17/1995,,
22,dookie,green day,6/10/1995,,
27,dookie,green day,6/24/1995,,
27,dookie,green day,7/23/1994,,
29,dookie,green day,7/1/1995,,
29,dookie,green day,5/28/1994,,
30,dookie,green day,6/11/1994,,
30,dookie,green day,5/21/1994,,
31,dookie,green day,7/8/1995,,
31,dookie,green day,6/18/1994,,
31,dookie,green day,6/4/1994,,
32,dookie,green day,5/14/1994,,
33,dookie,green day,7/16/1994,,
33,dookie,green day,6/25/1994,,
34,dookie,green day,7/9/1994,,
35,dookie,green day,7/2/1994,,
39,dookie,green day,7/29/1995,,
39,dookie,green day,7/15/1995,,
41,dookie,green day,7/22/1995,,
41,dookie,green day,5/7/1994,,
46,dookie,green day,8/5/1995,,
50,dookie,green day,8/12/1995,,
51,dookie,green day,4/30/1994,,
53,dookie,green day,9/23/1995,,
53,dookie,green day,8/19/1995,,
55,dookie,green day,9/2/1995,,
57,dookie,green day,4/23/1994,,
58,dookie,green day,8/26/1995,,
60,dookie,green day,9/30/1995,,
60,dookie,green day,9/9/1995,,
63,dookie,green day,9/16/1995,,
65,dookie,green day,10/7/1995,,
78,dookie,green day,10/14/1995,,
84,dookie,green day,10/21/1995,,
90,dookie,green day,1/13/1996,,
91,dookie,green day,4/16/1994,,
93,dookie,green day,10/28/1995,,
93,dookie,green day,4/9/1994,,
98,dookie,green day,2/6/2016,,
99,dookie,green day,4/2/1994,,
101,dookie,green day,11/4/1995,,
104,dookie,green day,1/20/1996,,
107,dookie,green day,1/6/1996,,
107,dookie,green day,1/6/1996,,
107,dookie,green day,12/30/1995,,
111,dookie,green day,12/23/1995,,
113,dookie,green day,11/11/1995,,
114,dookie,green day,12/16/1995,,
117,dookie,green day,2/3/1996,,
117,dookie,green day,12/9/1995,,
117,dookie,green day,11/25/1995,,
118,dookie,green day,1/27/1996,,
119,dookie,green day,12/2/1995,,
119,dookie,green day,11/18/1995,,
124,dookie,green day,3/26/1994,,
127,dookie,green day,2/10/1996,,
127,dookie,green day,2/19/1994,,
130,dookie,green day,2/17/1996,,
138,dookie,green day,2/24/1996,,
144,dookie,green day,2/13/2016,,
147,dookie,green day,3/19/1994,,
152,dookie,green day,3/2/1996,,
154,dookie,green day,3/9/1996,,
161,dookie,green day,4/27/1996,,
170,dookie,green day,4/20/1996,,
172,dookie,green day,3/12/1994,,
173,dookie,green day,3/23/1996,,
176,dookie,green day,3/30/1996,,
178,dookie,green day,3/16/1996,,
183,dookie,green day,4/6/1996,,
187,dookie,green day,6/22/2013,,
198,dookie,green day,3/5/1994,,
67,dude ranch,blink-182,2/14/1998,,
68,dude ranch,blink-182,1/31/1998,,
70,dude ranch,blink-182,2/7/1998,,
72,dude ranch,blink-182,2/21/1998,,
79,dude ranch,blink-182,3/7/1998,,
79,dude ranch,blink-182,2/28/1998,,
82,dude ranch,blink-182,1/17/1998,,
84,dude ranch,blink-182,1/24/1998,,
92,dude ranch,blink-182,3/14/1998,,
95,dude ranch,blink-182,3/28/1998,,
96,dude ranch,blink-182,3/21/1998,,
103,dude ranch,blink-182,4/4/1998,,
104,dude ranch,blink-182,1/10/1998,,
118,dude ranch,blink-182,4/11/1998,,
125,dude ranch,blink-182,4/18/1998,,
129,dude ranch,blink-182,12/27/1997,,
133,dude ranch,blink-182,5/2/1998,,
133,dude ranch,blink-182,1/3/1998,,
